,Recipe_title,servings,ingredients,stars,Num_of_reviews
12,Key Lime Vanilla Birthday Cake,8 to 10 servings,"['1 1/2 sticks (12 tablespoons) unsalted butter, at room temperature, plus more for the pans', '2 1/2 cups cake flour, plus more for the pans\xa0', '1 1/2 teaspoons baking powder\xa0', '1/2 teaspoon baking soda\xa0', '1/4 teaspoon kosher salt\xa0', '1 1/4 cups granulated sugar\xa0', '2 large eggs plus 2 large egg whites\xa0', '1 teaspoon pure vanilla extract\xa0', '1 cup buttermilk\xa0', '1/2 cup pastel sprinkles\xa0', '3 sticks unsalted butter, at room temperature', '4 ounces cream cheese, at room temperature\xa0', ""4 cups (one 1-pound box) confectioners' sugar\xa0"", '1/4 teaspoon kosher salt\xa0', '1 teaspoon pure vanilla extract\xa0', '1 tablespoon key lime zest, 2 to 3 tablespoons key lime juice\xa0and key lime half-moon slices, for garnish', 'Pastel sprinkles, for garnish\xa0']",4.5,4
13,Vanilla Birthday Cake with Chocolate Frosting,8 to 10 servings,"['Nonstick spray, for spraying pans', '2 cups granulated sugar\xa0', '2 sticks (1 cup) unsalted butter, at room temperature\xa0', '4 large eggs, at room temperature\xa0', '1 1/2 cups cake flour\xa0', '1 1/4 cups all-purpose flour\xa0', '2 teaspoons baking powder\xa0', '3/4 teaspoon kosher salt\xa0', '1 cup whole milk, at room temperature\xa0', '1 teaspoon pure vanilla extract\xa0', 'Chocolate Frosting, recipe follows']",4,15
14,Pineapple-Vanilla Skillet Cake,4 servings,"['Juice of 2 oranges (1/2 cup)', '3 tablespoons honey', '1 vanilla bean, split and scraped', '1/2 a pineapple, peeled, cored and cut into 1/2-inch-thick slices', '3/4 cup sifted self-rising cake flour', '1/2 cup firmly packed light brown sugar', '6 tablespoons unsalted butter, cubed, at cool room temperature', '1 large egg', 'Vanilla or cherry-vanilla ice cream, for serving']",,
15,Vanilla Pound Cake,8 servings,"['1 cup all-purpose flour', '1 cup cake flour\\xa0', '1 teaspoon baking powder\\xa0', '1/2 teaspoon salt\\xa0', '7 ounces (1 3/4 sticks) butter, softened, plus 1 tablespoon for greasing the loaf pan\\xa0', '3 ounces cream cheese, softened\\xa0', '1 1/2 cups sugar\\xa0', '5 eggs\\xa0', '1 tablespoon pure vanilla extract\\xa0']",3,2
16,Vanilla Wafer Cake,12 servings,"['Butter, for greasing pan', 'Flour, for dusting pan', '6 eggs', '2 cups sugar', 'One 12-ounce box vanilla wafers, crushed', '1 cup sweetened flaked coconut', '1 cup chopped pecans, or your favorite nut', '1/2 cup milk', 'Butter, optional', 'Whipped cream, optional', 'Berries, optional', 'Caramel sauce, optional']",4.5,27
17,Cranberry Orange Vanilla Cake Pops,10 to 12 servings,"['Nonstick cooking spray, for spraying the cake pans', '6 ounces all-purpose flour, plus more for dusting the cake pans', '8 ounces cake flour\xa0', '1 teaspoon fine salt\xa0', '1/4 teaspoon baking powder\xa0', '1/4 teaspoon baking soda\xa0', '3/4 cup heavy cream\xa0', '1/3 cup sour cream\xa0', 'Zest of 1 orange\xa0', '1 vanilla bean, split and scraped', '3 cups granulated sugar\xa0', '2 sticks (8 ounces) unsalted butter, at room temperature', '6 large eggs\xa0', '1 Granny Smith apple', 'One 8-ounce bag frozen cranberries\xa0', '1 cup granulated sugar\xa0', '1 teaspoon ground cinnamon\xa0', '1 orange, zested and juiced', '6 ounces egg whites', '1 pound granulated sugar\xa0', '5 sticks (1 1/4 pounds) unsalted butter, at room temperature', '1/2 teaspoon orange zest\xa0', 'White chocolate, as needed for coating', 'Nuts, sprinkles or chocolate chips, optional, for topping']",,
18,Quick Vanilla Buttercream Frosting,10 to 12 servings,"[""3 cups confectioners\\' sugar"", '1 cup butter', '1 teaspoon vanilla extract', '1 to 2 tablespoons whipping cream']",5,545
19,Cream Vanilla Spiced Cake,12 servings,"['1 box (18.25-ounce) spice cake mix, Betty Crocker', '1 1/2 cups low-fat vanilla yogurt', '3 eggs', '1 can (16-ounce) cream cheese frosting, Betty Crocker', '1 tablespoons garam masala, McCormick Gourmet Collection', '1 cup chopped walnuts, Diamond']",5,1
20,Vanilla American Buttercream,2 1/3 cups,"['2 sticks (8 ounces) unsalted butter, at room temperature', ""4 cups confectioners\\' sugar (1-pound box)\\xa0"", 'Pinch fine salt\\xa0', '2 teaspoons vanilla extract\\xa0', '1 to 2 tablespoons milk']",4.5,18
21,Vanilla Cream Cheese Pound Cake,2 loaves,"[""Baking spray with flour, such as Baker\\'s Joy"", '3 tablespoons demerara or turbinado sugar, such as Sugar in the Raw', '3/4 pound (3 sticks) unsalted butter, at room temperature', '8 ounces cream cheese, at room temperature', '2 1/2 cups granulated sugar', '6 extra-large eggs, at room temperature', '1 tablespoon pure vanilla extract', 'Seeds scraped from 1 vanilla bean', '3 cups sifted cake flour (measured after sifting)', '1 teaspoon kosher salt']",4.5,38
22,Mocha Chocolate Icebox Cake,8 servings,"['2 cups cold heavy cream', '12 ounces Italian mascarpone cheese', '1/2 cup sugar', '1/4 cup coffee liqueur, such as Kahlua', '2 tablespoons unsweetened cocoa powder, such as Pernigotti', '1 teaspoon instant espresso powder', '1 teaspoon pure vanilla extract', ""3 (8-ounce) packages chocolate chip cookies, such as Tate\\'s Bake Shop"", 'Shaved semisweet chocolate, for garnish']",5,298
23,Southern Red Velvet Cake,about 6 to 8 servings,"['Vegetable oil for the pans', '2 1/2 cups all-purpose flour', '1 1/2 cups sugar', '1 teaspoon baking soda', '1 teaspoon fine salt', '1 teaspoon cocoa powder', '1 1/2 cups vegetable oil', '1 cup buttermilk, at room temperature', '2 large eggs, at room temperature', '2 tablespoons red food coloring (1 ounce)', '1 teaspoon white distilled vinegar', '1 teaspoon vanilla extract', 'Cream Cheese Frosting, recipe follows', 'Crushed pecans, for garnish']",4.5,691
24,Coconut Cake,10 to 12 servings,"['3/4 pound (3 sticks) unsalted butter, at room temperature, plus more for greasing the pans', '2 cups sugar', '5 extra-large eggs, at room temperature', '1 1/2 teaspoons pure vanilla extract', '1 1/2 teaspoons pure almond extract', '3 cups all-purpose flour, plus more for dusting the pans', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon kosher salt', '1 cup milk', '4 ounces sweetened shredded coconut', '1 pound cream cheese, at room temperature', '1/2 pound (2 sticks) unsalted butter, at room temperature', '3/4 teaspoon pure vanilla extract', '1/4 teaspoon pure almond extract', ""1 pound confectioners' sugar, sifted"", '6 ounces sweetened shredded coconut']",4.5,531
25,Butter-Toasted Vanilla Pound Cake with Macerated Strawberries,4 servings,"['1 pound fresh strawberries, sliced', '2 tablespoons balsamic vinegar\xa0', '2 tablespoons sugar\xa0', '3 drops almond extract\xa0', 'Pinch salt\xa0', 'Generous pinch coarsely ground black pepper\xa0', '4 tablespoons butter', '4 slices Vanilla Pound Cake, recipe follows, or store-bought\xa0', '4 scoops vanilla ice cream', '1/4 cup sliced almonds, toasted, for garnish\xa0', '1 cup all-purpose flour', '1 cup cake flour\xa0', '1 teaspoon baking powder\xa0', '1/2 teaspoon salt\xa0', '7 ounces (1 3/4 sticks) butter, softened, plus 1 tablespoon for greasing the loaf pan\xa0', '3 ounces cream cheese, softened\xa0', '1 1/2 cups sugar\xa0', '5 eggs\xa0', '1 tablespoon pure vanilla extract\xa0']",4.5,5
26,Chocolate-Vanilla Swirl Bundt Cake,12 to 14 servings,"['Nonstick cooking spray, for greasing the pan', ""3 1/2 cups all-purpose flour (see Cook's Note)\xa0"", '1/2 teaspoon fine salt\xa0', '2 tablespoons whole milk\xa0', '4 teaspoons pure vanilla extract\xa0', '8 large eggs,\xa0plus 2 yolks,\xa0at room temperature\xa0', '4 sticks (2 cups) unsalted butter, at room temperature\xa0', '2 3/4 cups granulated sugar\xa0', '1 cup dark cocoa powder\xa0', ""1 cup confectioners'\xa0sugar"", '1 to 2 tablespoons whole milk\xa0']",3.5,3
27,Lemon Cake,2 (8-inch) loaves,"['1/2 pound (2 sticks) unsalted butter, at room temperature', '2 1/2 cups granulated sugar, divided', '4 extra-large eggs, at room temperature', '1/3 cup grated lemon zest (6 to 8 large lemons)', '3 cups flour', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1 teaspoon kosher salt', '3/4 cup freshly squeezed lemon juice, divided', '3/4 cup buttermilk, at room temperature', '1 teaspoon pure vanilla extract', ""2 cups confectioners' sugar, sifted"", '3 1/2 tablespoons freshly squeezed lemon juice']",5,561
28,Basic Vanilla Cake,two 9-inch cakes,"['2 sticks unsalted butter, at room temperature, plus more for the pans', '3 cups all-purpose flour, plus more for the pans', '1 tablespoon baking powder', '1/2 teaspoon salt', '1 1/4 cups sugar', '4 large eggs, at room temperature', '1 tablespoon vanilla extract', '1 1/4 cups whole milk (or 3/4 cup heavy cream mixed with 1/2 cup water)']",3,202
29,Beatty's Chocolate Cake,8 servings,"['Butter, for greasing the pans', '1 3/4 cups all-purpose flour, plus more for pans', '2 cups sugar', '3/4 cups good cocoa powder', '2 teaspoons baking soda', '1 teaspoon baking powder', '1 teaspoon kosher salt', '1 cup buttermilk, shaken', '1/2 cup vegetable oil', '2 extra-large eggs, at room temperature', '1 teaspoon pure vanilla extract', '1 cup freshly brewed hot coffee', 'Chocolate Buttercream Frosting, recipe follows']",5,2388
30,Chocolate Lava Cakes,4 servings,"['Baking spray, for spraying custard cups', '1 stick butter\\xa0', '2 ounces bittersweet chocolate\\xa0', '2 ounces semisweet chocolate\\xa0', '1 1/4 cups powdered sugar\\xa0', '2 whole eggs\\xa0', '3 egg yolks\\xa0', '1 teaspoon vanilla\\xa0', '1/2 cup all-purpose flour\\xa0', 'Vanilla ice cream, for serving']",5,214
31,Basic Chocolate Cake,two 9-inch cakes,"['Cooking spray', '1 cup unsweetened cocoa powder (natural or Dutch process)', '2 1/2 cups all-purpose flour', '2 cups sugar', '1 1/2 teaspoons baking powder', '1 teaspoon baking soda', '1 teaspoon salt', '3 large eggs, at room temperature', '3/4 cup vegetable oil', '1/2 cup sour cream', '2 teaspoons vanilla extract']",4.5,64
32,Chocolate Cake in a Mug,1 serving,"['3 tablespoons all-purpose flour', '3 tablespoons sugar\\xa0', '2 tablespoons cocoa powder\\xa0', '1/4 teaspoon baking powder\\xa0', 'Pinch of salt, optional\\xa0', '3 tablespoons milk\\xa0', '3 tablespoons vegetable oil\\xa0', 'Splash vanilla extract, optional\\xa0', '3 tablespoons chocolate chips\\xa0']",4.5,513
33,Lemon Yogurt Cake,1 loaf,"['1 1/2 cups all-purpose flour', '2 teaspoons baking powder', '1/2 teaspoon kosher salt', '1 cup plain whole-milk yogurt', '1 1/3 cups sugar, divided', '3 extra-large eggs', '2 teaspoons grated lemon zest (2 lemons)', '1/2 teaspoon pure vanilla extract', '1/2 cup vegetable oil', '1/3 cup freshly squeezed lemon juice', ""1 cup confectioners' sugar"", '2 tablespoons freshly squeezed lemon juice']",5,794
