,Recipe_title,servings,ingredients,stars,Num_of_reviews
634,Golden Pound Cake,10 to 12 servings,"['1 1/2 cups, plus 2 tablespoons unsalted butter, room temperature', '3 cups sugar', '6 eggs, room temperature', '2 teaspoons vanilla extract', '1 teaspoon grated orange zest', '1 teaspoon grated lemon zest', '3 cups cake flour', '2 tablespoons all-purpose flour', '1/2 cup buttermilk', '1/2 cup heavy cream', ""2 tablespoons confectioners' sugar"", '1 cup Cranberry Citrus Glaze, recipe follows', '2 cups cranberries (fresh or frozen)', '1/4 cup water', '1/2 cup sugar', '2 oranges, zested and juiced', '1 lemon, zested and juiced']",5,38
635,Carrot Cake Cupcakes,22 cupcakes,"['2 cups sugar', '1 1/3 cups vegetable oil', '1 teaspoon pure vanilla extract', '3 extra-large eggs', '2 cups all-purpose flour', '2 teaspoons ground cinnamon', '2 teaspoons baking soda', '1 1/2 teaspoons kosher salt', '3 cups grated carrots (less than 1 pound)', '1 cup raisins', '1 cup chopped walnuts', '3/4 pound cream cheese, at room temperature', '1/2 pound unsalted butter, at room temperature', '1 teaspoon pure vanilla extract', ""1 pound confectioners' sugar""]",5,1
636,Bird Bakery Award-Winning Carrot Cake Mini Cupcakes,2 1/2 dozen,"['2 cups flour', '1/2 tablespoon baking soda\\xa0', '1/2 tablespoon cinnamon\\xa0', '1/2 teaspoon fine salt\\xa0', '3 organic brown eggs\\xa0', '3/4 cup vegetable oil\\xa0', '3/4 cup buttermilk, room temperature\\xa0', '1 3/4 cups fine sugar\\xa0', '1/2 tablespoon high-quality vanilla extract\\xa0', '1 cup chopped pineapple, drained\\xa0', '1 1/4 cups shredded carrots\\xa0', '1/2 cup shredded sweetened coconut\\xa0', '3/4 cup golden raisins\\xa0', '1/2 cup chopped walnuts, plus extra for garnish\\xa0', '1 recipe Cream Cheese Frosting, recipe follows', '1 cup high-quality unsalted butter, such as Plugra, softened', '1 1/2 cups cream cheese, softened\\xa0', ""5 3/4 cups confectioners\\' sugar\\xa0"", '1/4 cup whole milk\\xa0', '3/4 tablespoon high-quality vanilla extract\\xa0', 'Zest and juice from 1 small orange\\xa0']",4.5,5
637,Cake Petit Fours,8 servings,"['1 store-bought pound cake', '1 small jar seedless strawberry jam', '1 pint strawberries, sliced', '1 (1-pound) container vanilla frosting', 'Red, green, and brown food coloring', ""1 cup confectioners\\' sugar"", '1/4 cup milk', 'Ice cream (any flavor you desire), frozen hard']",3.5,36
638,Monkey Bread,12 servings,"['Nonstick cooking spray, for greasing the pan', 'Four 12-ounce cans regular-size flaky biscuits, such as Pillsbury', '1 cup sugar', '1 tablespoon plus 1 1/2 teaspoons ground cinnamon', '1/2 teaspoon cardamom\\xa0', 'Zest from 2 oranges\\xa0', '4 tablespoons (1/2 stick) unsalted butter', '1 teaspoon pure vanilla extract\\xa0']",5,6
639,Candied-Lemon Pound Cake,8 to 10 slices of pound cake,"['2 sticks salted butter, at room temperature,\\xa0plus more for the pan', '1 3/4 cups all-purpose flour, plus more for the pan', '2 lemons', '3 large eggs, plus 1 egg yolk, at room temperature', '1/4 cup plus 3 to 4 tablespoons heavy cream', '2 1/4 teaspoons pure vanilla extract', '1 1/4 cups organic cane sugar', ""3/4 cup confectioners\\' sugar""]",4,17
640,Gooey Gooey Cake,10 to 12 servings,"['Nonstick cooking spray or butter, for preparing the baking pan', 'One 15.25-ounce box classic yellow cake mix\xa0', '1/2 cup (1 stick) unsalted butter, melted\xa0', '2 large eggs, room temperature\xa0', ""2 cups confectioners' sugar, plus more for garnish"", 'One 8-ounce package cream cheese, room temperature\xa0', '1/2 teaspoon vanilla extract\xa0', 'Pinch of salt\xa0', '2 large eggs, room temperature\xa0']",3.5,6
641,Love Cake,15 servings,"['Vegetable spray, for greasing baking pan', 'All-purpose flour, for dusting baking pan', '8 large eggs', '1/3 cup vegetable oil', '1 teaspoon pure vanilla extract', '1 1/4 cups water', '1 package fudge marble cake mix (or plain vanilla)', '1/2 cup cocoa powder', '2 pounds whole milk ricotta cheese', '3/4 cup granulated sugar', '1 tablespoon vanilla extract', '1/2 cup chocolate chips', '1 package instant chocolate pudding', '1 1/4 cups cold whole milk', '4 cups prepared whipped cream']",4,14
642,Grandma's Butter Cake,8 to 10 servings,"['3 cups cake flour', '1 cup sweet butter', '3 teaspoons baking powder', '1 teaspoon salt', '2 cups super fine sugar', '4 large eggs', '1 cup milk', '1 1/2 teaspoons vanilla extract', '1 teaspoon lemon extract', '1/2 teaspoon almond extract']",,
643,Get-Your-Grill-On Cake,16 servings,"['4 pieces pink salt water taffy', '4 caramels\xa0', '1 black food coloring marker\xa0', 'One 18.25-ounce box chocolate cake mix', 'One 16-ounce can chocolate frosting\xa0', 'Nonstick cooking spray, for spraying the baking mat', '2 cups mini marshmallows, left out on a baking sheet until stale (a few hours)', '1/4 cup crushed red rock candy or red popping candy\xa0', '1 cup mini marshmallows', '3 tablespoons semisweet chocolate chips\xa0', '1 tablespoon butter\xa0', '1 1/2 cups chocolate puffed rice cereal\xa0', '1/2 teaspoon vanilla extract\xa0', '1 piece yellow fruit leather or fruit roll\xa0', '1 lime candy fruit segment, sliced in half', '1 orange candy fruit segment, sliced in half', '2 red gum balls\xa0', '1 lemon candy fruit segment, sliced in half', '1 cherry candy fruit segment, sliced in half', '1 cream-filled sponge cake, such as Twinkies', '1/4 cup vanilla frosting\xa0', '1/2 cup mixed yellow and white small jelly beans\xa0']",5,2
644,Flourless Carrot Bundt Cake,8 to 10 servings,"['Cooking spray', '2 cups almond flour', '1/2 cup kosher potato starch', '1 teaspoon finely grated orange zest', '1/2 teaspoon ground cinnamon', '1/2 teaspoon ground ginger', '1/2 teaspoon kosher salt', '2 cups shredded carrots (3 to 4 large carrots)', '2 large eggs plus 3 egg whites', '1 1/4 cups granulated sugar', ""1 cup confectioners' sugar"", '1 tablespoon plus 2 teaspoons fresh orange juice', '1 vanilla bean, split lengthwise and seeds scraped (optional)', 'Pinch of kosher salt']",4,8
645,Tea Cakes with Earl Grey Icing,48 mini cupcakes,"['6 ounces bittersweet chocolate, chopped', '2 sticks unsalted butter, cut into pieces', '1 1/2 cups sugar', '3/4 cup cake flour', '1/2 teaspoon salt', '4 large eggs', '1/2 teaspoon vanilla extract', '1 cup sugar', '4 large egg whites', '1 teaspoon fresh lemon juice', 'Pinch of salt', '2 bags Earl Grey tea']",4.5,20
646,Buttermilk Strawberry Skillet Cake with Strawberry Whipped Cream and Jerry's Sugared Pecans,4 to 6 servings,"['5 tablespoons salted butter, at room temperature, plus additional for the skillet', '1 1/4 cups all-purpose flour, plus additional for the skillet\xa0', '3/4 cup plus 2 teaspoons sugar\xa0', '1 1/2 teaspoons vanilla extract\xa0', '1 large egg\xa0', '1/2 teaspoon baking powder\xa0', '1/4 teaspoon baking soda\xa0', '1/4 teaspoon salt\xa0', '1/2 cup buttermilk\xa0', '2 cups strawberries, tops removed, sliced in half lengthwise\xa0', '3/4 cup cold heavy whipping cream', '1/4 cup strawberry jam\xa0', '1/2 teaspoon vanilla extract\xa0', ""Jerry's Sugared Pecans, recipe follows, for serving"", '1/2 cup (1 stick) butter, melted', '1 cup sugar\xa0', '1 teaspoon ground cinnamon\xa0', '3 large egg whites\xa0', '4 cups pecan halves\xa0']",5,10
647,Blackberry Cornbread Cake,6 to 8 servings,"['2 tablespoons butter', '2 cups whole-fat buttermilk\\xa0', '1 teaspoon vanilla bean paste\\xa0', '2 large eggs\\xa0', '1 cup all-purpose flour\\xa0', '3/4 cup yellow cornmeal\\xa0', '3/4 cup maple sugar\\xa0', '1/2 teaspoon baking soda\\xa0', '1/2 teaspoon fine sea salt\\xa0', 'One 6-ounce container blackberries, plus more for garnish\\xa0', '1/2 cup heavy cream\\xa0', 'Maple syrup and whipped cream, for serving\\xa0']",5,12
648,Sheet Pan Ice Cream Cake, 8 to 10 servings,"['Nonstick baking spray, for the baking sheet', ""4 large eggs, cold (see Cook\\'s Note)\\xa0"", '1 cup sugar\\xa0\\xa0', '1 teaspoon baking powder\\xa0', '1 teaspoon kosher salt\\xa0\\xa0', '1 stick (1/2 cup) unsalted butter, melted and cooled to room temperature\\xa0\\xa0', '1 tablespoon pure vanilla extract\\xa0\\xa0', ""1 1/2 cups all-purpose flour, sifted (see Cook\\'s Note)\\xa0\\xa0"", '1 pint chocolate ice cream\\xa0', '1 pint vanilla ice cream\\xa0', '1 pint strawberry ice cream\\xa0', '1 cup finely chopped semi-sweet chocolate (about 4 ounces)\\xa0', '2 tablespoons coconut oil\\xa0\\xa0']",,
649,Red Velvet Cake,about 12 servings,"['1 cup unsalted butter room temperature', '1 1/2 cups sugar', '2 eggs', '2 teaspoons cocoa', '2 ounces red food coloring', '1 teaspoon salt', '1 teaspoon vanilla', '1 cup buttermilk', '1 1/2 cups sifted cake flour', '1 1/2 teaspoons white vinegar', '1 teaspoon baking soda', 'Cream cheese filling and frosting, recipe follows']",4,36
650,Carrot Cake with Lemon Cream Cheese Frosting,12 servings,[],5,15
651,Chocolate Cake,12 servings,"['2 cups sugar', '1 3/4 cups all-purpose flour, plus for dusting\xa0', '3/4 cup cocoa\xa0powder', '1 1/2 teaspoons baking powder\xa0', '1 1/2 teaspoons baking soda\xa0', '1 teaspoon salt\xa0', '2 eggs\xa0', '1 cup milk\xa0', '1/2 cup vegetable oil\xa0', '2 teaspoons vanilla extract\xa0', '1 cup boiling water\xa0']",4,2
652,Pecan Brownies,36 bars,"['1 cup margarine or butter', '2 cups sugar', '2 teaspoons vanilla', '4 eggs, slightly beaten', '1 cup all-purpose flour or unbleached flour', '1/2 cup unsweetened cocoa', '1/2 teaspoon salt', '8 ounces (8 squares) semi-sweet chocolate (coarsely chopped)', '1 cup pecans, chopped']",4.5,45
653,Old-Fashioned Clementine Pound Cake,2 pound cakes,"['2 cups (4 sticks) unsalted butter, softened, plus more for greasing the pans', '3 cups sugar\xa0', '8 large eggs, room temperature\xa0', 'Zest and juice of 1 clementine\xa0', '4 teaspoons pure vanilla extract\xa0', '4 cups all-purpose flour, plus more for dusting the pans\xa0', '1 teaspoon baking powder\xa0', '1 teaspoon salt\xa0', '1/2 teaspoon cinnamon\xa0', '1/2 cup whole milk, room temperature\xa0', ""1 cup confectioners' sugar"", 'Juice of 2 clementines\xa0', 'Zest of 1 clementine\xa0']",4.5,7
654,Funnel Cakes,8 servings,"['4 cups flour\\xa0', '1 tablespoon baking powder', '1/2 teaspoon salt', '1 cup brown sugar', '3 eggs', '2 1/4 cups milk', '1/2 teaspoon vanilla extract', 'Oil, for deep frying, (ratio should be 1:1, canola oil to peanut oil)\\xa0', '1/4 cup granulated sugar\\xa0', '1 teaspoon cinnamon']",4.5,16
655,The Best Chocolate Cupcakes,24 cupcakes,"[""2 cups cake flour\xa0(see Cook's Note)"", ""3/4 cup Dutch-process cocoa powder (see Cook's Note)\xa0"", '1 1/2 cups granulated sugar\xa0', '1 teaspoon baking powder\xa0', '1 teaspoon baking soda\xa0', '1/2 teaspoon\xa0kosher\xa0salt\xa0', '3/4 cup buttermilk, at room temperature\xa0', '3/4 cup warm coffee\xa0', '1/2 cup vegetable oil\xa0', '2 large eggs, at room temperature\xa0', '1 teaspoon pure vanilla extract\xa0']",5,14
656,Ice Cream Cake,12 servings,"['3 cups sugar', '2 3/4 cups all-purpose flour', '1 1/8 cups cocoa powder, preferably Dutch-process', '2 1/4 teaspoons baking powder', '2 1/4 teaspoons baking soda', '1 1/2 teaspoons salt', '3 eggs', '1 1/2 cups milk', '3/4 cup vegetable oil', '1 tablespoon pure vanilla extract', '1 1/2 cups very hot water', '1 pint mint chocolate chip ice cream, slightly softened', '1 cup cream', '8 ounces semisweet chocolate', '1/2 cup cream', '4 ounces white chocolate', 'Drops mint extract, optional', 'Drops green food coloring, optional']",4.5,16
657,Chocolate-Mint Love Cake with Mint Ganache,18 servings,"['Canola spray', 'One 16.5-ounce box chocolate cake mix plus ingredients for baking listed on the box', '1/4 teaspoon peppermint extract\xa0', 'One 32-ounce container part-skim ricotta cheese\xa0', '4 ounces mascarpone\xa0', '3/4 cup sugar\xa0', '4 large eggs\xa0', '1 teaspoon vanilla\xa0extract', 'One 10-ounce bag bittersweet chocolate chips', '5 ounces heavy cream\xa0', '1 tablespoon light corn syrup\xa0', '1/8 teaspoon peppermint extract\xa0']",4.5,7
658,Peaches and Cream Ice Cream Cake with Oatmeal Cookies,8,"['Unsalted butter, for the pan', '8 to 10 oatmeal raisin cookies', '3/4 cup granola', '1 quart peach ice cream or gelato, softened', '1 quart vanilla ice cream or gelato, softened']",,
659,Red Velvet Cake,6 to 8 servings,"['3/4 stick butter, room temperature, plus more for pans', '1 5/8 cups cake flour', '1 teaspoon salt', '1 1/4 cups sugar', '1 teaspoon vanilla extract', '2 large eggs, room temperature', '1/4 cup unsweetened cocoa powder', '3/4 cup buttermilk', '3/4 teaspoon vinegar', '3/4 teaspoon baking soda', '1-ounce red food coloring']",3.5,11
660,Grilled Rhubarb and Strawberry Compote with Grilled Pound Cake,8 servings,"['1 pound rhubarb stalks (about 4 large), sliced into 1/2-inch pieces', '1 pound strawberries, hulled and halved (quartered if large)', '1 teaspoon vanilla extract', '2/3 cup plus 2 tablespoons sugar', 'Zest of 2 oranges', 'Kosher salt', '1/2 cup heavy cream', '1/2 cup sour cream', '8 slices pound cake']",,
661,Blueberry Lemon Crumble Cake,NA,"['3/4 cup unsalted butter, softened', '1 cup sugar', '2 large eggs', '1 teaspoon vanilla extract', '2 teasoons lemon juice', '2 cups all-purpose flour', '1 teaspoon baking soda', '1 teaspoon baking powder', '1/2 teaspoon salt', '2 cups fresh blueberries', '1 1/2 cups sour cream', '1/4 cup white sugar', '1/4 cup brown sugar', '1 cup all-purpose flour', '1 1/2 teaspoons cinnamon', '1/2 cup unsalted butter, chilled', '2 cups blueberries', '1/2 cup granulated sugar', '1 tablespoon cornstarch', '1/2 vanilla bean, seeded', '2 teaspoons lemon juice']",5,12
662,Old Fashioned Root Beer Float Cake,10 to 12 servings,"['1 cup butter', '2 cups granulated sugar', '3 cups cake flour', '1 1/2 tablespoons baking powder', '1/2 teaspoon salt', '3 1/2 teaspoons water', '4 eggs', '1 tablespoon root beer extract', '1 teaspoon vanilla extract', '1 cup milk']",4,30
663,Party-Trick Peanut Butter Cake,one 8-inch square cake,"['1 cup sugar', '1 cup flour\\xa0', '3/4 teaspoon kosher salt\\xa0', '3/4 teaspoon baking powder\\xa0', '3/4 teaspoon baking soda\\xa0', '1 large egg\\xa0', '1 teaspoon vanilla extract\\xa0', '1/2 cup buttermilk\\xa0', '1/4 cup flavorless oil\\xa0', '6 tablespoons water\\xa0', '1/2 cup creamy unsalted, unsweetened peanut butter\\xa0', 'Powdered sugar, whipped cream or yogurt, and/or fresh berries, for serving\\xa0']",5,13
664,Carrot Ice Cream Cake,6 to 8 servings,"['About 10 ounces oil', 'About 15 ounces sugar', '4 eggs', 'About 10 ounces all-purpose flour', '1 teaspoon baking powder', '1 1/2 teaspoons baking soda', '1 1/2 teaspoons salt', '2 teaspoons ground cinnamon', '2 cups organic carrots (about 3 large)', '8 1/2 ounces pineapple (1 large golden pineapple)', '1 cup hickory nuts', '1 liter milk', 'About 17 to 18 ounces cream', 'About 14 ounces sugar, divided', 'About 5 ounces glucose', '1/2 teaspoon salt', 'Cream cheese or (recommended: Brilliant Savarin Cheese)', '30 egg yolks', 'About 17 to 18 ounces carrot reduction (need 30 large carrots)', 'About 3 1/2 ounces pineapple reduction (need 1 large pineapple)', 'About 17 to 18 ounces milk', '8 ounces heavy cream', 'About 8 1/2 ounces sugar', 'About 3 1/2 ounces dry milk', 'About 4 1/2 ounces dry glucose', 'About 1/4-ounce ice cream stabilizer', 'About 2.2 pounds fresh pineapple puree (2 large golden pineapples)', 'About 8 1/2 ounces sugar', 'About 1/4-ounce Pectin NH (found in specialty stores)', 'Pinch salt', '1 teaspoon vanilla extract', 'White Chocolate Spray:', 'About 17 to 18 ounces cocoa butter', 'About 22 ounces white chocolate (recommended: Valhrona)', 'About 3 1/2 ounces glucose', 'About 7 ounces fondant icing', '1 cup whole hickory nuts, toasted', 'Toothpicks', 'Masking tape', 'About 17 to 18 ounces white tempered chocolate']",4,2
665,Walnut Cake with American Frosting,8 servings,"['6 tablespoons butter, softened', ""4 1/2 ounces icing sugar (confectioners'), sifted"", '1/2 teaspoon vanilla extract', 'American frosting, recipe follows', 'Edible rose petals, to decorate', '8 walnut halves, to decorate', '2 egg whites', '15 ounces caster (superfine) or granulated sugar', '3 1/2 ounces water']",4,3
666,"Red, White and Blueberry Trifle",12 servings,"['Two 16-ounce containers strawberries', 'Two 6-ounce containers blueberries', 'One 6-ounce container blackberries', '3/4 cup granulated sugar', '1/2 teaspoon finely grated lemon zest', '2 tablespoons fresh lemon juice', 'Pinch kosher salt', 'One 8-ounce package cream cheese', '2 cups heavy cream', '1/2 teaspoon pure vanilla extract', '1 prepared angel food cake (about 12 ounces)', ""Confectioners\\' sugar, for garnish, optional"", '1 1/2 tablespoons apple jelly or apricot preserves, for garnish, optional']",5,19
667,Orange Chocolate Lava Cakes,4 servings,"['Nonstick cooking spray', '3/4 cup bittersweet chocolate chips', '4 tablespoons unsalted butter', '1 tablespoon extra-virgin olive oil, plus more for drizzling', 'Zest of 1 orange', '1/4 cup sugar', '1 whole egg, plus 1 egg yolk', '1 tablespoon all-purpose flour', '1 teaspoon vanilla extract', 'Sea salt, for sprinkling', '1 orange, segments cut into supremes']",5,15
668,Heavenly Chocolate Cake,12 to 15 servings,"['1 1/4 cups granulated sugar', '1 cup sour cream', '1/4 cup whole milk', '1 teaspoon instant espresso', '1/3 cups vegetable oil', '2 whole eggs', '1 teaspoon vanilla extract', '1 1/2 cups all-purpose flour', '1/2 cup cocoa powder', '1 1/2 teaspoons baking soda', '3/4 teaspoon baking powder', '3/4 teaspoon kosher salt', '1 1/2 cups dark chocolate', '1 teaspoon powdered gelatin', '1 1/2 tablespoons cold water', '1 cup whole milk', '5 egg yolks', '2 cups heavy cream', '2 cups heavy cream', '1/4 cup granulated sugar', '1/4 cup unsalted butter', '2 1/2 cups dark chocolate, chopped', '2 3/4 cups granulated sugar', 'Water', '1/2 cup egg whites', '1 1/2 cups unsalted butter, room temperature', '1/2 cup cake shortening (recommended: Crisco)', 'Pinch kosher salt', '1 1/2 cups dark chocolate, melted', '1/4 cup cocoa powder', 'Seedless raspberry marmalade']",4.5,17
669,Sideways Turkey Cake,10 servings,"['Flour-based baking spray, for the pan', '2 cups all-purpose flour\xa0', '1 1/2 teaspoons baking powder\xa0', '3/4 teaspoon salt\xa0', '1/2 teaspoon baking soda\xa0', '3/4 cup plus 2 tablespoons water\xa0', '3/4 cup granulated sugar\xa0', '1/2 cup vegetable oil\xa0', '4 1/2 teaspoons white vinegar\xa0', '1 tablespoon vanilla extract\xa0', 'Red gel food color\xa0', 'Orange gel food color\xa0', 'Yellow gel food color\xa0']",5,1
670,Funnel Cake Ice Cream Sandwiches,8 servings,"['2 quarts neutral frying oil', 'One 15.25-ounce box vanilla cake mix, such as Duncan Hines French Vanilla', '1/2 cup all-purpose flour\\xa0', '1 teaspoon baking powder\\xa0', '1 1/3 cups whole milk\\xa0', '3 large eggs\\xa0', 'One 1.5-quart container strawberry ice cream\\xa0', ""1/2 cup confectioners\\' sugar\\xa0""]",5,2
671,Glazed Strawberry Jam-Filled Coffee Cake,8,"['3/4 cup all-purpose flour', '2/3 cup packed light brown sugar', '1 teaspoon ground cinnamon', 'Pinch of fine salt', '5 tablespoons unsalted butter, at room temperature', '1 stick (8 tablespoons) unsalted butter, at room temperature, plus more, for the pan', '2 cups all-purpose flour', '1 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 cup granulated sugar', '2 large eggs', '2 teaspoons vanilla extract', '1 cup sour cream', '2/3 cup strawberry jam', ""3/4 cup confectioners' sugar"", '2 tablespoons milk']",5,1
672,St. Patrick's Day Lime Poke Cake,15 slices,"['1 cup (2 sticks) unsalted butter, softened, plus more for greasing pan', '2 1/2 cups all-purpose flour', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1/2 teaspoon fine salt', '1 1/4 cups buttermilk, well shaken', '2 teaspoons pure vanilla extract', '2 cups granulated sugar', '3 large eggs, lightly beaten', 'One 3-ounce box lime gelatin', '2 cups heavy cream, cold', '1 tablespoon granulated sugar', '2 teaspoons pure vanilla extract', 'Green sanding sugar, for sprinkling']",4.5,12
673,May Day Centerpiece Cake,1 (10-inch) cake and 12 cupcakes,"['2 (10-inch) layers of unfrosted store-bought cake', '1 (16-ounce) container lemon frosting', '4 (16-ounce) containers whipped supreme vanilla frosting', 'Red food coloring', 'Strawberry extract', 'Green food coloring', 'Mint extract', 'Blue food coloring', 'Cherry extract', '8 to 12 cupcakes, unfrosted', 'Edible flowers, for garnish']",3.5,7
674,Fireworks Bundt Cake,12 servings,"['2 sticks unsalted butter, at room temperature, plus more for the pan', '2 3/4 cups all-purpose flour, plus more for dusting', '2 teaspoons baking powder', '1/4 teaspoon baking soda', '1/2 teaspoon salt', '1 2/3 cups granulated sugar', '4 large eggs, at room temperature', '1/2 cup sour cream', '1 tablespoon pure vanilla extract', '3/4 cup buttermilk', ""2 cups confectioners' sugar"", '1 tablespoon fresh lemon juice', '1/2 teaspoon pure vanilla extract', 'Red, white and blue nonpareils, for topping', 'Red, white and blue rock candy sticks, for decorating']",5,5
675,Orange Angel Food Cake,: 6 to 8 servings,"['1 1/2 cups egg whites (from about 1 dozen eggs), at room temperature', '1 1/4 teaspoons cream of tartar', '1/2 teaspoon salt', '1 cup sugar, plus 1/2 cup', '1 1/8 cups sifted cake flour', '1 teaspoon pure vanilla extract', '1 orange, zested', '3/4 cup orange juice', ""1 1/2 pounds confectioners' sugar""]",5,6
676,Upside-Down Pineapple Cake,12 servings,"['4 ounces (8 tablespoons) unsalted butter, plus more for buttering the baking dish', 'Scant 1 1/2 cups light brown sugar\xa0', '1 vanilla bean, split and scraped\xa0', '1 pineapple, peeled, halved and sliced about 1/4 inch thick\xa0', '2 cups all-purpose flour', '2 teaspoons baking powder\xa0', '1/2 teaspoon kosher salt\xa0', '1 cup granulated sugar\xa0', '3 ounces (6 tablespoons) unsalted butter, at room temperature', '1/2 cup sour cream\xa0', '2 teaspoons vanilla extract\xa0', '1 large egg, at room temperature\xa0', '1/2 cup milk\xa0']",5,4
677,Raspberry Orange Trifle,6 to 8 servings,"['1 orange pound cake, recipe follows', '1 cup good raspberry jam', '2 half-pints fresh raspberries', 'Orange cream, recipe follows', '1 cup (1/2 pint) cold heavy cream', '2 tablespoons sugar', '1/2 teaspoon pure vanilla extract', '1/2 pound (2 sticks) unsalted butter at room temperature', '2 1/2 cups sugar, divided', '4 extra-large eggs, at room temperature', '1/3 cup grated orange zest (6 oranges)', '3 cups all-purpose flour', '1/2 teaspoon baking powder', '1/2 teaspoon baking soda', '1 teaspoon kosher salt', '3/4 cup freshly squeezed orange juice, divided', '3/4 cup buttermilk at room temperature', '1 teaspoon pure vanilla extract', '1 1/2 cups milk', '1 teaspoon grated orange zest (1 orange)', '5 extra-large egg yolks, at room temperature', '1/2 cup sugar', '2 tablespoons sifted cornstarch', '1/2 teaspoon pure vanilla extract', '1/2 teaspoon Grand Marnier liqueur', '1 tablespoon unsalted butter', '1 tablespoon heavy cream']",5,32
678,Stuffed Pinata Cake,8 to 10,[],,
679,Italian Cream Cake (From Beth Lott's Mom),"1 (3-layer) cake, serving 10 t","['1/2 teaspoon salt', '1 cup buttermilk, at room temperature', '2 cups shredded coconut', '1 cup finely chopped pecans or walnuts', '1 teaspoon vanilla extract', '1 (8-ounce) package cream cheese, at room temperature', '1/4 cup butter, softened at room temperature', '1 teaspoon vanilla', '1 (16-ounce) box powdered sugar, sifted', '3/4 cup finely chopped pecans or walnuts', '1/2 cup shortening, room temperature', '1 stick butter, room temperature', '2 cups sugar', '5 eggs, separated and at room temperature', '2 cups flour', '1 teaspoon baking soda']",5,5
680,Chocolate Cherry Candy Cake,10 to 12 servings,"['1 stick (8 tablespoons) unsalted butter, melted and cooled slightly, plus more for the pan', ""1 cup all-purpose flour (see Cook's Note), plus more for the pan"", '1 cup sugar', '1/2 cup Dutch-process cocoa powder', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '1/2 teaspoon kosher salt', '1/2 cup buttermilk, at room temperature', '1 large egg, at room temperature', '1 teaspoon pure vanilla extract', '1/4 cup well-drained good-quality cherries in syrup, such as Amarena or Luxardo, plus 2 tablespoons syrup', 'One 1/4-ounce packet unflavored gelatin', '4 ounces cream cheese, at room temperature', '1/2 cup sour cream, at room temperature', '1/4 cup sugar', '1/2 teaspoon kosher salt', '1/4 teaspoon almond extract', '8 ounces semisweet chocolate (50 to 60 percent cacao), finely chopped', '3/4 cup heavy cream']",5,3
681,Plum Upside-Down Cake with Lemon,6 to 8 servings,"['1 3/4 cups sugar', '4 plums, cut into 1/2-inch wedges (about 1 1/4 pounds)', '1 3/4 cups all-purpose flour', '1 teaspoon baking powder 1/2 teaspoon baking soda', '1/2 teaspoon salt', '1 stick unsalted butter, at room temperature', '2 large eggs', '1 teaspoon pure vanilla extract', '3/4 cup milk', '1/4 cup sour cream', '1 1/2 teaspoons finely grated lemon zest (from 1 lemon)']",5,1
682,Basic Buttercream Icing,6 cups,"['1 cup unsalted butter or margarine, room temperature (use vegetable shortening when pure white icing is needed)', '1/2 cup milk, room temperature', '1/4 teaspoon salt', '2 teaspoons vanilla or other desired flavoring', ""2 pounds confectioners\\' sugar""]",4,31
683,Icebox Cake With Orange-Caramel Cream,8 servings,"['3 oranges', '1/3 cup sugar', '3 cups cold heavy cream', '1 1/2 teaspoons vanilla extract', '2 9-ounce packages chocolate wafer cookies (about 50 wafers)']",4,4
684,Strawberry and Cookie Ice Cream Cake,8 to 10 servings,"['6 tablespoons unsalted butter, melted, plus more for buttering the pan', '9 ounces chocolate wafer cookies, crushed', '1 1/2 cups sliced strawberries', '2 tablespoons granulated sugar', '4 cups (1 quart) cookies and cream ice cream, softened', '4 cups (1 quart) strawberry ice cream, softened']",,
685,Fresh Peach and Blueberry Upside-Down Cake,8 servings,"['1/2 cup packed light brown sugar', '5 tablespoons butter, melted', '2 peaches, pitted, peeled and sliced 1/2-inch thick\\xa0', '1 cup blueberries\\xa0', '1 cup granulated sugar\\xa0', '1/2 cup (1 stick) butter, at room temperature\\xa0', '4 ounces cream cheese, at room temperature\\xa0', '1 1/3 cups all-purpose flour\\xa0', '1 1/2 teaspoons baking powder\\xa0', '1/4 teaspoon salt\\xa0', '2 large eggs\\xa0', '2/3 cup milk\\xa0', '1 1/2 teaspoons vanilla extract\\xa0']",5,17
686,Easter Lamb Cake,12 servings,"['Butter, for greasing the cake pans', '3 cups all-purpose flour', '2 cups granulated sugar', '1/2 cup nonfat dry milk', '1 tablespoon baking powder', '1 cup vegetable oil', '1 cup sour cream', '1 1/2 teaspoons vanilla extract', '4 large eggs', 'One 3.4-ounce package instant vanilla pudding', '1/2 cup warm water']",,
687,Classic Cake Doughnuts,2 dozen doughnuts and holes,"['1/4 cup vegetable shortening, plus more for deep frying', '1 cup sugar', '2 large eggs, at room temperature', '1 cup canned evaporated milk', '2 teaspoons vanilla extract', '4 cups unbleached all-purpose flour, plus more as needed', '4 teaspoons baking powder', '1 1/2 teaspoons freshly grated nutmeg', '1/4 teaspoon ground mace', '1 teaspoon fine salt', ""For coating the doughnuts (optional): 1 cup granulated sugar, or 1 cup granulated sugar mixed with 1 tablespoon ground cinnamon, or 1 cup sifted confectioners\\' sugar""]",4,9
